Favored Team Cover,Favored Final Spread,Favored Team Rank,Spread,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Rank,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%,Fav Court_H,Fav Court_N,Favored Team Predicted Win
1,10,3,"Michigan -8.4, 72-63 (81%)",65.4,87.83666667,113.85,111.9033333,53.47666667,86.79333333,44.00666667,70,74.1,96.59,102.5633333,95.37,45.75333333,99.03,50.45666667,0,0,8.4
1,20,4,"Michigan -13.6, 69-55 (93%)",67.53846154,86.06615385,115.7846154,109.8753846,52.13230769,88.77230769,45.9,52,68.72307692,93.92307692,100.1769231,97.06923077,46.51692308,99.86923077,47.93230769,1,0,13.6
0,-10,3,"Michigan -4.0, 64-59 (68%)",66.11428571,90.46,122.02,115.3457143,54.39714286,91.89428571,46.56,29,66.31428571,92.84857143,114.1771429,108.4628571,55,97.98857143,45.66285714,0,0,4
0,2,5,"Michigan -16.0, 76-60 (94%)",67.32,88.156,115.1066667,106.816,52.788,90.36133333,47.052,72,70.6,101.1133333,109.1093333,105.1,49.16533333,103.4466667,50.956,1,0,16
1,23,6,"Michigan -5.4, 68-62 (72%)",65.35,88.205,111.9775,103.9925,50.095,89.9225,45.6825,47,67.55,96.565,101.82,96.1875,48.445,101.335,49.855,0,0,5.4
1,16,5,"Michigan -11.4, 69-58 (89%)",65.69411765,82.22470588,108.2517647,100.2752941,48.25411765,85.35294118,42.51882353,34,67.3,94.7575,108.545,103.68,52.69,102.015,53.125,1,0,11.4
0,-15,5,"Michigan -4.0, 73-69 (66%)",64.88888889,81.01777778,109.7,104.3444444,48.98444444,82.13333333,41.07111111,28,70.95555556,103.3177778,122.7688889,116.4044444,59.12666667,109.9466667,54.21777778,0,0,4
1,12,5,"Michigan -9.3, 66-57 (85%)",66.64210526,81.75894737,107.0789474,101.8073684,49.06315789,84.78842105,42.22947368,102,67,95.65777778,104.6,97.98888889,45.61555556,99.05777778,49.02888889,0,0,9.3
1,9,4,"Michigan -6.8, 62-55 (79%)",66.64,86.956,110.094,104.234,49.566,90.27,45.046,14,62.5,88.004,111.462,106.206,51.474,91.808,42.08,1,0,6.8
0,-6,6,"Michigan -7.3, 66-59 (79%)",66.16190476,88.3047619,110.7047619,103.5847619,49.15809524,91.72857143,45.56095238,67,69.28,97.66,109.502,101.86,46.232,103.632,53.096,0,0,7.3
1,13,7,"Michigan -6.9, 68-61 (77%)",64.89090909,92.02,115.9854545,107.6272727,52.84545455,94.23090909,45.89454545,18,64.94545455,87.79454545,111.5745455,104.7472727,52.18909091,93.11090909,41.55818182,1,0,6.9
1,9,5,"Michigan -5.1, 68-63 (71%)",64.48695652,88.63391304,112.6782609,104.773913,51.68956522,91.00956522,45.14608696,46,66.48695652,96.36608696,111.0043478,103.9869565,50.00608696,103.5704348,49.99565217,0,0,5.1
0,-7,6,"Michigan -4.5, 68-63 (69%)",65.78333333,86.84333333,113.085,104.7016667,53.04833333,91.37833333,43.94833333,8,67.08333333,88.28666667,112.1883333,107.7316667,51.78166667,87.77666667,42.71333333,1,0,4.5
1,6,1,"Duke -4.8, 89-84 (65%)",77.4,88.56,137.72,129.3,58.52,89.5,42.64,7,73.2,91.46,125.44,123.6,54.86,93.02,49.96,0,1,4.8
1,21,1,"Duke -14.6, 90-75 (89%)",74.06666667,90.94666667,130.4466667,121.5466667,54.2,96.98666667,45.56,27,73,90.5,109.02,113.0666667,60.59333333,84.62,46.02666667,1,0,14.6
1,19,1,"Duke -18.0, 86-68 (94%)",78.31111111,79.68444444,115.22,114.8088889,53.17111111,76.77777778,40.64888889,47,72.64,88.088,109.336,107.312,57.44,88.78,46.14,1,0,18
0,2,2,"Duke -8.1, 83-75 (77%)",77.14545455,83.01454545,116.6272727,111.76,53.98363636,83.04545455,42.22727273,35,70.93333333,91.66333333,104.34,102.9766667,49.5,95.47,48.09333333,0,0,8.1
0,-4,2,"Duke -17.0, 81-64 (94%)",75.33333333,88.63666667,121.7833333,115.72,56.23,89.96,43.02666667,44,67.49230769,91.83384615,104.1538462,99.53692308,47.00307692,91.75538462,48.74923077,1,0,17
0,2,3,"Duke -5.4, 80-75 (69%)",71.78,86.642,124.012,119.2,58.3,89.706,44.116,13,69.5047619,94.44,117.42,108.0028571,54.86952381,102.8780952,47.75619048,0,0,5.4
0,16,3,"Duke -19.8, 93-74 (94%)",71.21904762,87.63047619,121.5228571,114.7780952,54.63333333,92.3552381,46.34190476,37,73.32727273,99.55818182,117.6090909,111.6945455,53.53090909,103.7127273,50.45636364,1,0,19.8
0,-16,2,"Duke -11.2, 93-82 (81%)",72.90909091,89.42363636,124.3872727,115.7109091,55.61272727,96.28909091,48.98363636,6,73.4,92.32181818,119.52,113.8909091,56.42909091,98.18363636,51.26363636,1,0,11.2
1,10,3,"Duke -7.4, 76-69 (76%)",77.50434783,88.80782609,112.9295652,106.7347826,49.54521739,94.3826087,48.59043478,34,68.06086957,86.39304348,103.2852174,99.03478261,47.40347826,89.76695652,44.27130435,0,0,7.4
0,-5,3,"Duke -3.2, 76-73 (62%)",75.9,90.19833333,115.9416667,109.7666667,51.25,95.36333333,46.42333333,11,63.58333333,92.53333333,114.5416667,108.695,52.515,97.43666667,49.21166667,0,0,3.2
1,10,8,"Michigan St. -5.8, 76-70 (71%)",76.4,88.48,118.12,121.38,56.94,85.64,41.74,33,76,86.8,102.3,104.52,50.66,89.94,46.4,0,1,5.8
0,-4,8,"Michigan St. -3.7, 81-78 (63%)",74.8,87.62666667,118.4933333,120.3466667,59.02,85.28666667,40.78666667,52,72.4,101,119.08,118.82,55.36,102.92,50.46,0,0,3.7
